SU;;PosX;;PosY;;SlotHV;;ChHV;SlotDAQ;ChDAQ;HV;Sensor
2103029;12;0;0;00;14;00;1193.91;
2103175;13;0;0;01;14;01;1262.22;
2103196;14;0;0;02;14;02;1165.87;
2105164;9;1;0;03;14;03;1340.88;
2105194;10;1;0;04;14;04;1186.05;
2105146;11;1;0;05;14;05;1368.20;
2104100;12;1;0;06;14;06;1218.66;
2105086;13;1;0;07;14;07;1340.34;
2104068;7;2;0;08;14;08;1151.19;L
2103100;8;2;0;09;14;09;1099.30;
2103113;9;2;0;10;14;10;1163.79;
2104085;10;2;0;11;14;11;1122.51;
2104102;11;2;0;12;14;12;1250.63;
2104089;12;2;0;13;14;13;1102.00;
2104104;13;2;0;14;14;14;1104.73;
2104072;14;2;0;15;14;15;1222.81;C
2103104;5;3;0;16;14;16;1143.29;
2103162;6;3;0;17;14;17;1163.30;
2104017;7;3;0;18;14;18;1219.39;
2104035;8;3;0;19;14;19;1144.72;
2103062;9;3;0;20;14;20;1197.64;
2104007;10;3;0;21;14;21;1211.90;
2103067;11;3;0;22;14;22;1192.84;
2104025;12;3;0;23;14;23;1188.04;
2103139;13;3;0;24;14;24;1242.01;
2103174;4;4;0;25;14;25;1194.45;
2103194;5;4;0;26;14;26;1226.37;
2104024;6;4;0;27;14;27;1242.29;
2104023;7;4;0;28;14;28;1213.00;
2103186;8;4;0;29;14;29;1155.02;
2104003;9;4;0;30;14;30;1204.45;
2104021;10;4;0;32;15;00;1192.07;
2103190;11;4;0;33;15;01;1257.05;C
2104078;12;4;0;34;15;02;1226.24;
2103023;13;4;0;35;15;03;1193.29;
2104074;14;4;0;36;15;04;1094.48;
2103172;3;5;0;37;15;05;1254.00;
2104014;4;5;0;38;15;06;1284.68;
2103007;5;5;0;39;15;07;1227.16;
2103161;6;5;0;40;15;08;1178.77;
2103133;7;5;0;41;15;09;1168.16;
2104077;8;5;0;42;15;10;1236.98;
2103110;9;5;0;43;15;11;1134.74;
2105160;10;5;0;44;15;12;1136.08;
2103005;11;5;0;45;15;13;1172.60;
2104049;12;5;0;46;15;14;1193.18;
2103101;13;5;0;47;15;15;1241.15;
2105155;3;6;1;00;15;16;1228.66;
2105143;4;6;1;01;15;17;1177.59;
2104030;5;6;1;02;15;18;1191.93;
2105172;6;6;1;03;15;19;1084.27;
2103152;7;6;1;04;15;20;1110.69;C
2103108;8;6;1;05;15;21;1247.54;
2105125;9;6;1;06;15;22;1158.38;
2105122;10;6;1;07;15;23;1220.35;
2104073;11;6;1;08;15;24;1138.14;
2104054;12;6;1;09;15;25;1122.67;
2104048;13;6;1;10;15;26;1246.17;
2103124;14;6;1;11;15;27;1138.34;C
2105128;2;7;1;12;15;28;1208.00;
2105158;3;7;1;13;15;29;1169.39;
2105167;4;7;1;14;15;30;1134.59;
2105181;5;7;1;15;15;31;1159.94;
2105149;6;7;1;16;16;00;1209.97;
2103176;7;7;1;17;16;01;1218.38;
2105169;8;7;1;18;16;02;1132.30;
2104101;9;7;1;19;16;03;1126.44;
2103191;10;7;1;20;16;04;1187.28;
2103179;11;7;1;21;16;05;1236.11;
2105152;12;7;1;22;16;06;1180.30;
2103189;13;7;1;23;16;07;1141.39;
2103051;2;8;1;24;16;08;1170.74;L
2103147;3;8;1;25;16;09;1267.12;
2105232;4;8;1;26;16;10;1188.91;
2104031;5;8;1;27;16;11;1199.59;
2105215;6;8;1;28;16;12;1180.24;
2105104;7;8;1;29;16;13;1230.40;
2104055;8;8;1;30;16;14;1082.05;
2104039;9;8;1;31;16;15;1237.50;
2105206;10;8;1;32;16;16;1191.58;
2105209;11;8;1;33;16;17;1271.09;
2104092;12;8;1;34;16;18;1184.03;
2104095;13;8;1;35;16;19;1153.68;
2104033;14;8;1;36;16;20;1195.48;
2103146;1;9;1;37;16;21;1203.39;
2105151;2;9;1;38;16;22;1201.35;
2105178;3;9;1;39;16;23;1232.77;
2105118;4;9;1;40;16;24;1137.70;
2103183;5;9;1;41;16;25;1185.45;
2105132;6;9;1;42;16;26;1126.87;
2105106;7;9;1;43;16;27;1186.41;
2105162;8;9;1;44;16;28;1225.56;
2105239;9;9;1;45;16;29;1234.97;
2103114;10;9;1;46;16;30;1136.59;
2105121;11;9;1;47;16;31;1235.19;
2105228;12;9;2;01;17;01;1227.60;
