SU  PosX  PosY	SlotHV	ChHV	SlotDAQ		ChDAQ	HV
SAC-6870;0;4;6;36;3;0;1500.
SAC-6873;0;3;6;37;3;1;1500.
SAC-6882;0;2;6;38;3;2;1500.
SAC-6889;0;1;6;39;3;3;1500.
SAC-6013;0;0;6;40;3;4;1500.
SAC-6885;1;4;6;41;3;5;1500.
SAC-6877;1;3;6;42;3;6;1500.
SAC-6876;1;2;6;43;3;7;1500.
SAC-6878;1;1;6;44;3;8;1500.
SAC-6868;1;0;6;45;3;9;1500.
SAC-5996;2;4;6;46;3;10;1500.
SAC-6005;2;3;6;47;3;11;1500.
SAC-6880;2;2;13;0;3;12;1500.
SAC-6883;2;1;13;1;3;13;1500.
SAC-6872;2;0;13;2;3;14;1500.
SAC-5981;3;4;13;3;3;15;1500.
SAC-6010;3;3;13;4;3;16;1500.
SAC-6000;3;2;13;5;3;17;1500.
SAC-6001;3;1;13;6;3;18;1500.
SAC-6009;3;0;13;7;3;20;1500.
SAC-5986;4;4;13;8;3;21;1500.
SAC-5990;4;3;13;9;3;22;1500.
SAC-5995;4;2;13;10;3;23;1500.
SAC-5987;4;1;13;11;3;24;1500.
SAC-6891;4;0;13;12;3;25;1500.
